grupo,team_a,team_b,goals_a,assists_a,shots_total_a,xg_a,xa_a,tackles_a,interceptions_a,yellow_cards_a,red_cards_a,injury_days_missed_a,injuries_last_3seasons_a,passes_accuracy_pct_a,duels_won_pct_a,minutes_played_a,club_elo_rating_a,max_altitude_delta_m_a,min_altitude_delta_m_a,intl_caps_a,intl_goals_a,goals_b,assists_b,shots_total_b,xg_b,xa_b,tackles_b,interceptions_b,yellow_cards_b,red_cards_b,injury_days_missed_b,injuries_last_3seasons_b,passes_accuracy_pct_b,duels_won_pct_b,minutes_played_b,club_elo_rating_b,max_altitude_delta_m_b,min_altitude_delta_m_b,intl_caps_b,intl_goals_b,delta_goals,delta_assists,delta_shots_total,delta_xg,delta_xa,delta_tackles,delta_interceptions,delta_yellow_cards,delta_red_cards,delta_injury_days_missed,delta_injuries_last_3seasons,delta_passes_accuracy_pct,delta_duels_won_pct,delta_minutes_played,delta_club_elo_rating,delta_max_altitude_delta_m,delta_min_altitude_delta_m,delta_intl_caps,delta_intl_goals
A,Mexico,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Mexico,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Mexico,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,South Africa,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,South Africa,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,South Korea,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,Canada,Bosnia & Herzegovina,,,,,,,,,,,,,,,,,,,,1.0,6.0,0.0,0.0,0.0,60.0,30.0,6.0,0.0,0.0,0.0,12.3,0.0,61.3,0.0,1655.0,-582.0,0.0,0.0,-1.0,-6.0,0.0,0.0,0.0,-60.0,-30.0,-6.0,0.0,0.0,0.0,-12.3,0.0,-61.3,0.0,-1655.0,582.0,0.0,0.0
B,Canada,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,Canada,Switzerland,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,0.0,38.0,31.0,8.0,0.0,0.0,0.0,23.033898305084747,0.0,80.16949152542372,0.0,1739.0,-498.0,0.0,0.0,-8.0,-2.0,0.0,0.0,0.0,-38.0,-31.0,-8.0,0.0,0.0,0.0,-23.033898305084747,0.0,-80.16949152542372,0.0,-1739.0,498.0,0.0,0.0
B,Bosnia & Herzegovina,Qatar,1.0,6.0,0.0,0.0,0.0,60.0,30.0,6.0,0.0,0.0,0.0,12.3,0.0,61.3,0.0,1655.0,-582.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,6.0,0.0,0.0,0.0,60.0,30.0,6.0,0.0,0.0,0.0,12.3,0.0,61.3,0.0,1655.0,-582.0,0.0,0.0
B,Bosnia & Herzegovina,Switzerland,1.0,6.0,0.0,0.0,0.0,60.0,30.0,6.0,0.0,0.0,0.0,12.3,0.0,61.3,0.0,1655.0,-582.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,38.0,31.0,8.0,0.0,0.0,0.0,23.033898305084747,0.0,80.16949152542372,0.0,1739.0,-498.0,0.0,0.0,-7.0,4.0,0.0,0.0,0.0,22.0,-1.0,-2.0,0.0,0.0,0.0,-10.733898305084747,0.0,-18.869491525423726,0.0,-84.0,-84.0,0.0,0.0
B,Qatar,Switzerland,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,0.0,38.0,31.0,8.0,0.0,0.0,0.0,23.033898305084747,0.0,80.16949152542372,0.0,1739.0,-498.0,0.0,0.0,-8.0,-2.0,0.0,0.0,0.0,-38.0,-31.0,-8.0,0.0,0.0,0.0,-23.033898305084747,0.0,-80.16949152542372,0.0,-1739.0,498.0,0.0,0.0
C,Brazil,Morocco,5.0,1.0,0.0,0.0,0.0,95.0,33.0,10.0,0.0,0.0,0.0,6.543478260869565,0.0,91.76086956521739,0.0,2212.0,-25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,0.0,0.0,95.0,33.0,10.0,0.0,0.0,0.0,6.543478260869565,0.0,91.76086956521739,0.0,2212.0,-25.0,0.0,0.0
C,Brazil,Haiti,5.0,1.0,0.0,0.0,0.0,95.0,33.0,10.0,0.0,0.0,0.0,6.543478260869565,0.0,91.76086956521739,0.0,2212.0,-25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,0.0,0.0,95.0,33.0,10.0,0.0,0.0,0.0,6.543478260869565,0.0,91.76086956521739,0.0,2212.0,-25.0,0.0,0.0
C,Brazil,Scotland,5.0,1.0,0.0,0.0,0.0,95.0,33.0,10.0,0.0,0.0,0.0,6.543478260869565,0.0,91.76086956521739,0.0,2212.0,-25.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,9.0,6.0,0.0,0.0,0.0,12.865384615384615,0.0,84.3076923076923,0.0,2240.0,3.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,73.0,24.0,4.0,0.0,0.0,0.0,-6.32190635451505,0.0,7.453177257525084,0.0,-28.0,-28.0,0.0,0.0
C,Morocco,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,Morocco,Scotland,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,0.0,0.0,22.0,9.0,6.0,0.0,0.0,0.0,12.865384615384615,0.0,84.3076923076923,0.0,2240.0,3.0,0.0,0.0,-3.0,-2.0,0.0,0.0,0.0,-22.0,-9.0,-6.0,0.0,0.0,0.0,-12.865384615384615,0.0,-84.3076923076923,0.0,-2240.0,-3.0,0.0,0.0
C,Haiti,Scotland,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,0.0,0.0,22.0,9.0,6.0,0.0,0.0,0.0,12.865384615384615,0.0,84.3076923076923,0.0,2240.0,3.0,0.0,0.0,-3.0,-2.0,0.0,0.0,0.0,-22.0,-9.0,-6.0,0.0,0.0,0.0,-12.865384615384615,0.0,-84.3076923076923,0.0,-2240.0,-3.0,0.0,0.0
D,United States,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,United States,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,United States,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,Paraguay,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,Paraguay,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,Australia,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,Germany,Curaçao,14.0,3.0,0.0,0.0,0.0,56.0,34.0,8.0,0.0,0.0,0.0,30.6,0.0,97.35,0.0,2134.0,-103.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,14.0,3.0,0.0,0.0,0.0,56.0,34.0,8.0,0.0,0.0,0.0,30.6,0.0,97.35,0.0,2134.0,-103.0,0.0,0.0
E,Germany,Ivory Coast,14.0,3.0,0.0,0.0,0.0,56.0,34.0,8.0,0.0,0.0,0.0,30.6,0.0,97.35,0.0,2134.0,-103.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,14.0,3.0,0.0,0.0,0.0,56.0,34.0,8.0,0.0,0.0,0.0,30.6,0.0,97.35,0.0,2134.0,-103.0,0.0,0.0
E,Germany,Ecuador,14.0,3.0,0.0,0.0,0.0,56.0,34.0,8.0,0.0,0.0,0.0,30.6,0.0,97.35,0.0,2134.0,-103.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,14.0,3.0,0.0,0.0,0.0,56.0,34.0,8.0,0.0,0.0,0.0,30.6,0.0,97.35,0.0,2134.0,-103.0,0.0,0.0
E,Curaçao,Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,Curaçao,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,Ivory Coast,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,Netherlands,Japan,10.0,8.0,0.0,0.0,0.0,34.0,18.0,3.0,0.0,0.0,0.0,22.80392156862745,0.0,93.92156862745098,0.0,2228.0,-9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,10.0,8.0,0.0,0.0,0.0,34.0,18.0,3.0,0.0,0.0,0.0,22.80392156862745,0.0,93.92156862745098,0.0,2228.0,-9.0,0.0,0.0
F,Netherlands,Sweden,10.0,8.0,0.0,0.0,0.0,34.0,18.0,3.0,0.0,0.0,0.0,22.80392156862745,0.0,93.92156862745098,0.0,2228.0,-9.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,22.0,11.0,5.0,0.0,0.0,0.0,8.830508474576272,0.0,72.88135593220339,0.0,2218.0,-19.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,12.0,7.0,-2.0,0.0,0.0,0.0,13.97341309405118,0.0,21.04021269524759,0.0,10.0,10.0,0.0,0.0
F,Netherlands,Tunisia,10.0,8.0,0.0,0.0,0.0,34.0,18.0,3.0,0.0,0.0,0.0,22.80392156862745,0.0,93.92156862745098,0.0,2228.0,-9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,10.0,8.0,0.0,0.0,0.0,34.0,18.0,3.0,0.0,0.0,0.0,22.80392156862745,0.0,93.92156862745098,0.0,2228.0,-9.0,0.0,0.0
F,Japan,Sweden,,,,,,,,,,,,,,,,,,,,5.0,2.0,0.0,0.0,0.0,22.0,11.0,5.0,0.0,0.0,0.0,8.830508474576272,0.0,72.88135593220339,0.0,2218.0,-19.0,0.0,0.0,-5.0,-2.0,0.0,0.0,0.0,-22.0,-11.0,-5.0,0.0,0.0,0.0,-8.830508474576272,0.0,-72.88135593220339,0.0,-2218.0,19.0,0.0,0.0
F,Japan,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,Sweden,Tunisia,5.0,2.0,0.0,0.0,0.0,22.0,11.0,5.0,0.0,0.0,0.0,8.830508474576272,0.0,72.88135593220339,0.0,2218.0,-19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,5.0,2.0,0.0,0.0,0.0,22.0,11.0,5.0,0.0,0.0,0.0,8.830508474576272,0.0,72.88135593220339,0.0,2218.0,-19.0,0.0,0.0
G,Belgium,Egypt,7.0,1.0,0.0,0.0,0.0,23.0,12.0,2.0,0.0,0.0,0.0,21.983333333333334,0.0,73.7,0.0,2224.0,-13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,0.0,0.0,23.0,12.0,2.0,0.0,0.0,0.0,21.983333333333334,0.0,73.7,0.0,2224.0,-13.0,0.0,0.0
G,Belgium,Iran,7.0,1.0,0.0,0.0,0.0,23.0,12.0,2.0,0.0,0.0,0.0,21.983333333333334,0.0,73.7,0.0,2224.0,-13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,0.0,0.0,23.0,12.0,2.0,0.0,0.0,0.0,21.983333333333334,0.0,73.7,0.0,2224.0,-13.0,0.0,0.0
G,Belgium,New Zealand,7.0,1.0,0.0,0.0,0.0,23.0,12.0,2.0,0.0,0.0,0.0,21.983333333333334,0.0,73.7,0.0,2224.0,-13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,0.0,0.0,23.0,12.0,2.0,0.0,0.0,0.0,21.983333333333334,0.0,73.7,0.0,2224.0,-13.0,0.0,0.0
G,Egypt,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,Egypt,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,Iran,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,Spain,Cape Verde,16.0,2.0,0.0,0.0,0.0,26.0,11.0,8.0,0.0,0.0,0.0,23.263157894736842,0.0,97.78947368421052,0.0,2214.0,-23.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,16.0,2.0,0.0,0.0,0.0,26.0,11.0,8.0,0.0,0.0,0.0,23.263157894736842,0.0,97.78947368421052,0.0,2214.0,-23.0,0.0,0.0
H,Spain,Saudi Arabia,16.0,2.0,0.0,0.0,0.0,26.0,11.0,8.0,0.0,0.0,0.0,23.263157894736842,0.0,97.78947368421052,0.0,2214.0,-23.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,16.0,2.0,0.0,0.0,0.0,26.0,11.0,8.0,0.0,0.0,0.0,23.263157894736842,0.0,97.78947368421052,0.0,2214.0,-23.0,0.0,0.0
H,Spain,Uruguay,16.0,2.0,0.0,0.0,0.0,26.0,11.0,8.0,0.0,0.0,0.0,23.263157894736842,0.0,97.78947368421052,0.0,2214.0,-23.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,16.0,2.0,0.0,0.0,0.0,26.0,11.0,8.0,0.0,0.0,0.0,23.263157894736842,0.0,97.78947368421052,0.0,2214.0,-23.0,0.0,0.0
H,Cape Verde,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,Cape Verde,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,Saudi Arabia,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,France,Senegal,15.0,7.0,0.0,0.0,0.0,106.0,44.0,8.0,0.0,0.0,0.0,32.395833333333336,0.0,146.60416666666666,0.0,2116.0,-121.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,15.0,7.0,0.0,0.0,0.0,106.0,44.0,8.0,0.0,0.0,0.0,32.395833333333336,0.0,146.60416666666666,0.0,2116.0,-121.0,0.0,0.0
I,France,Iraq,15.0,7.0,0.0,0.0,0.0,106.0,44.0,8.0,0.0,0.0,0.0,32.395833333333336,0.0,146.60416666666666,0.0,2116.0,-121.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,15.0,7.0,0.0,0.0,0.0,106.0,44.0,8.0,0.0,0.0,0.0,32.395833333333336,0.0,146.60416666666666,0.0,2116.0,-121.0,0.0,0.0
I,France,Norway,15.0,7.0,0.0,0.0,0.0,106.0,44.0,8.0,0.0,0.0,0.0,32.395833333333336,0.0,146.60416666666666,0.0,2116.0,-121.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,12.5,0.0,89.29166666666667,0.0,2173.0,-64.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,98.0,40.0,0.0,0.0,0.0,0.0,19.895833333333336,0.0,57.312499999999986,0.0,-57.0,-57.0,0.0,0.0
I,Senegal,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,Senegal,Norway,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,0.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,12.5,0.0,89.29166666666667,0.0,2173.0,-64.0,0.0,0.0,-12.0,-1.0,0.0,0.0,0.0,-8.0,-4.0,-8.0,0.0,0.0,0.0,-12.5,0.0,-89.29166666666667,0.0,-2173.0,64.0,0.0,0.0
I,Iraq,Norway,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,0.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,12.5,0.0,89.29166666666667,0.0,2173.0,-64.0,0.0,0.0,-12.0,-1.0,0.0,0.0,0.0,-8.0,-4.0,-8.0,0.0,0.0,0.0,-12.5,0.0,-89.29166666666667,0.0,-2173.0,64.0,0.0,0.0
J,Argentina,Algeria,9.0,8.0,0.0,0.0,0.0,124.0,52.0,8.0,0.0,0.0,0.0,10.857142857142858,0.0,186.65714285714284,0.0,2212.0,-25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,9.0,8.0,0.0,0.0,0.0,124.0,52.0,8.0,0.0,0.0,0.0,10.857142857142858,0.0,186.65714285714284,0.0,2212.0,-25.0,0.0,0.0
J,Argentina,Austria,9.0,8.0,0.0,0.0,0.0,124.0,52.0,8.0,0.0,0.0,0.0,10.857142857142858,0.0,186.65714285714284,0.0,2212.0,-25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,9.0,8.0,0.0,0.0,0.0,124.0,52.0,8.0,0.0,0.0,0.0,10.857142857142858,0.0,186.65714285714284,0.0,2212.0,-25.0,0.0,0.0
J,Argentina,Jordan,9.0,8.0,0.0,0.0,0.0,124.0,52.0,8.0,0.0,0.0,0.0,10.857142857142858,0.0,186.65714285714284,0.0,2212.0,-25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,9.0,8.0,0.0,0.0,0.0,124.0,52.0,8.0,0.0,0.0,0.0,10.857142857142858,0.0,186.65714285714284,0.0,2212.0,-25.0,0.0,0.0
J,Algeria,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
