country,tiktok_minutes_daily,instagram_minutes_daily,attention_span_score,dopamine_dependency_score,sleep_hours,addiction_score,ASI,MHRI,addiction_rank
Afghanistan,126.192988,97.33909347,81.37232654,22.35320815,6.914665705,58.88938029,95.42555244,46.16302075,35
Algeria,124.4862045,98.58568259,81.41067608,22.30718871,6.841645396,58.54802344,94.78885818,42.4739357,55
Angola,118.1551003,99.97616181,81.82239483,21.81312621,6.931220383,58.98619682,96.15926743,44.28459663,31
Argentina,130.6184044,104.9920732,80.36579353,23.56104777,6.852418304,60.42840439,97.29576102,46.24097351,3
Australia,119.4512845,101.0296857,81.62658581,22.04809702,6.904792904,58.50149071,94.9548844,46.15312854,56
Austria,119.5092944,92.85282502,82.30315671,21.23621195,7.204875928,57.65407414,94.07193633,47.23968231,84
Bangladesh,126.2290165,102.8556,80.9096153,22.90846164,6.810666186,58.6825364,94.45661115,44.50733479,47
Belgium,115.8490751,99.90697204,82.02032941,21.57560471,7.168977261,59.17873463,96.78186454,47.11942787,25
Bolivia,130.8729407,97.64103642,80.95716857,22.85139772,6.987616995,59.55742474,96.26345176,43.87247998,16
Brazil,113.8106857,93.68490541,82.70870074,20.74955911,6.737083373,56.20947343,91.66938774,45.18894833,97
Bulgaria,118.4033248,100.648114,81.74571343,21.90514388,7.003979186,57.6530431,93.40094231,45.22039901,85
Cambodia,118.1908617,98.62486171,81.93202305,21.68157234,7.198545169,58.73722291,95.79287348,47.45269296,43
Canada,129.3384604,102.2169987,80.70371174,23.15554591,6.88410602,60.34816855,97.54079119,47.76483643,4
Chile,119.5474093,96.97259506,81.95666631,21.65200043,7.13302752,57.85388795,94.05577547,46.89690772,80
China,117.6836185,101.4481156,81.73902216,21.91317341,6.986932225,58.43908291,94.96499241,42.4570936,58
Colombia,111.4245128,100.8937913,82.30680798,21.23183042,7.163821323,58.18096951,95.13010861,45.98437703,66
Costa Rica,122.4847492,97.22026921,81.69124847,21.97050184,6.786783854,58.68124282,95.3919838,44.13955111,48
Croatia,116.5766617,102.7975289,81.71881745,21.93741906,7.090413931,57.69533618,93.4532533,43.78304807,83
Cuba,116.6137785,100.7969149,81.88244222,21.74106934,7.078160772,58.59863231,95.45619529,41.72505991,50
Czechia,114.5150177,103.1925769,81.85770045,21.77075946,6.773277675,57.72541453,93.68006959,46.02968908,82
Denmark,123.9786846,98.56569236,81.45463525,22.25443769,7.176097052,58.37135941,94.48828113,41.16649778,61
Dominican Republic,118.8420227,96.10844801,82.08746078,21.49504707,7.048750914,58.63494691,95.77484675,45.86024929,49
Ecuador,120.0842477,95.55477862,82.03008114,21.56390263,7.112458551,57.24007677,92.91625091,45.96833892,92
Egypt,120.2123141,98.94639974,81.73677385,21.91587138,7.102580437,57.96009861,94.00432583,43.13774877,75
El Salvador,114.0780935,95.41235426,82.54246269,20.94904478,7.105633043,57.05576273,93.16248068,44.56429118,93
Ethiopia,119.924293,97.59408848,81.87346821,21.75183815,7.031326478,57.99499877,94.2381594,44.62606981,72
Finland,124.747728,100.7504435,81.2084857,22.54981716,6.900546264,58.88585045,95.22188374,45.61005421,37
France,134.2135222,97.0848044,80.72513945,23.12983266,6.838015831,58.98936667,94.84890069,43.37384096,30
Germany,120.9117862,96.78584045,81.85853111,21.76976266,6.805920133,58.92141045,96.07305824,47.67034175,33
Ghana,118.7240497,106.8782065,81.19981199,22.56022562,7.055379978,57.9474121,93.33459859,44.92961654,76
Greece,129.4739899,101.9759283,80.71250681,23.14499182,7.01822724,59.76473583,96.38447985,46.74326217,14
Guatemala,124.3235984,92.41126611,81.93876129,21.67348645,6.975625268,58.11539013,94.55729382,43.68250883,69
Haiti,118.3162886,91.36011456,82.5269664,20.96764032,7.133911652,57.78155348,94.59546665,46.57784123,81
Honduras,109.0808724,98.16233753,82.72973251,20.72432099,7.059997042,56.40390716,92.08349333,46.91442296,96
Hungary,114.6713285,104.607846,81.72673546,21.92791744,7.296442694,57.62391168,93.31990592,46.23795064,86
Iceland,119.3114976,90.60655793,82.5068287,20.99180556,6.916504096,57.44416431,93.89652306,44.1831813,91
India,119.0668224,96.72073401,82.01770364,21.57875564,7.118057702,58.32609309,95.07343054,45.43301526,62
Indonesia,130.5311595,104.1877049,80.44009463,23.47188644,7.119882819,60.46527058,97.45865472,46.04895191,2
