user_id,country,age,year,internet_penetration,mental_health_support_index,gdp_index,youth_population_ratio,baseline_addiction_pressure,tiktok_minutes_daily,instagram_minutes_daily,night_usage_ratio,scroll_velocity,addiction_pressure,attention_span_score,dopamine_dependency_score,impulsivity_index,sleep_hours,sleep_quality_index,ASI,MHRI,addiction_score,addiction_level
1,Philippines,59,2050,88.89551304,64.34707975,0.312067212,0.310388512,64.76269276,242.85313,27.3952216,0.260954958,2.607245951,69.98179191,77.47930404,27.02483516,60.04485626,6.56177756,7.912360338,100,40.46062644,63.51241758,High
2,Netherlands,23,2035,57.95029233,76.25704538,0.460319759,0.293133531,37.5926463,98.59995053,155.1674936,0.963486782,4.154875324,56.86238195,78.85271299,25.37674441,81.76911371,9.400197306,2.292105741,100,79.42402815,62.68837221,High
3,Laos,26,2060,40.32580491,55.84651408,0.893657855,0.183055036,22.58959472,127.2215726,69.90228388,0.961404926,2.791169994,41.81769324,83.57301196,19.71238565,99.61306464,7.810417321,2.308760591,100,88.26272936,59.85619283,High
4,Bulgaria,50,2046,43.83804399,28.39057571,0.661523108,0.155037721,57.0930838,140.5285135,58.2193871,0.685944986,3.952341854,70.81198352,83.43767495,19.87479006,86.9359436,7.020032584,4.51244011,100,70.90577125,59.93739503,High
5,Zambia,24,2045,43.74994267,81.41375474,0.275185552,0.457115205,57.65348481,187.7486956,148.3285751,0.716873221,2.426045077,71.99094923,71.99356077,33.60772707,45.27501966,7.900621465,4.265014231,100,51.31243867,66.80386354,High
6,Syria,57,2051,85.50495045,68.36564167,0.838636143,0.445706359,24.42779388,136.0027059,26.2135125,0.651000225,3.747858063,37.44779838,86.4819818,16.22162184,7.924200401,5.682038926,4.791998201,100,30.00210919,58.11081092,High
7,Cuba,29,2030,82.08144245,82.80510306,0.229878551,0.294416187,57.20795587,55.91373927,127.4847291,0.177330937,3.539104606,60.75457461,84.7167943,18.33984684,12.05372603,7.180469393,8.581352503,98.79247166,13.1201005,58.56615925,High
8,Austria,28,2060,74.95245956,20.48664914,0.913637244,0.296860022,41.05490075,145.3082883,61.59301448,0.500455653,0.793143664,51.06401382,82.75822477,20.69013028,2.932504829,4.997813562,5.996354772,100,21.48447855,60.34506514,High
9,Germany,47,2060,89.11411581,85.07883566,0.721569008,0.15887276,77.03642882,187.6226758,94.20388511,0.793016211,4.001147656,92.89675304,76.51445326,28.18265609,36.26632394,7.258703732,3.65587031,100,49.85381042,64.09132805,High
10,UAE,14,2028,79.08881478,22.58208631,0.94265485,0.365547534,76.83491464,66.31824878,3.260462815,0.774678103,2.462213576,92.32847671,94.20177403,6.95787116,48.15512548,7.270307497,3.802575173,65.77647993,55.06468688,36.36717555,Medium
11,Croatia,23,2038,96.97228995,86.00367927,0.35619439,0.166100925,25.04640837,168.0019494,128.8759585,0.898770663,1.767764886,43.02182162,75.26017434,29.68779079,82.06092792,7.31490601,2.809834698,100,76.98129047,64.84389539,High
12,Chile,53,2039,49.2036767,37.45045604,0.207357641,0.491548228,73.73139371,135.2549495,202.5014634,0.900798174,2.122026648,91.7473572,71.85363226,33.77564129,8.573389704,6.770298021,2.793614605,100,40.31862183,66.88782065,High
13,Uganda,15,2060,76.77458948,27.94314649,0.470396125,0.393858008,61.74492134,125.7089763,36.84956395,0.261485437,2.441791574,66.97463007,86.45345498,16.25585402,22.81193857,5.557647821,7.908116507,91.73868759,21.86538675,53.99727081,High
14,Afghanistan,41,2049,44.39848798,22.85425991,0.487592921,0.218526897,33.41575031,81.60071865,157.7500522,0.721720511,2.163341055,47.85016054,80.05410243,23.93507709,51.06518713,10,4.226235909,100,54.40141402,61.96753854,High
15,Qatar,30,2031,58.39095349,62.66950338,0.542547319,0.372282778,79.16006383,106.66532,97.6346677,0.651339938,2.116787998,92.18686258,82.97500102,20.42999877,84.97763343,5.569407588,4.789280499,100,68.54241422,60.21499939,High
16,Russia,32,2060,66.90812907,35.95546138,0.412161894,0.484202848,23.4535256,146.3143941,126.7302029,0.885830175,2.753477754,41.17012909,77.24628358,27.3044597,8.763935122,5.288534148,2.913358603,100,39.81517454,63.65222985,High
17,New Zealand,59,2056,72.01906891,78.47117469,0.792614894,0.285135923,42.49223477,94.54941884,40.99822427,0.183474393,3.430045134,46.16172263,88.70436307,13.55476431,24.34359528,6.856478956,8.532204855,75.11279728,19.51077337,44.33378079,Medium
18,Bolivia,26,2059,81.77628209,25.38859369,0.328646441,0.244791288,25.47720061,61.24288973,48.39920621,0.739792577,4.156901257,40.27305214,90.86315867,10.96420959,54.39048103,6.80687924,4.081659388,84.41275103,56.78694357,47.68848031,Medium
19,China,46,2018,94.39057987,36.94386901,0.64544101,0.374846747,49.55750626,58.79220664,104.3729736,0.423332111,4.600974349,58.02414847,86.40290165,16.31651802,32.43649997,7.29872303,6.613343116,98.51587454,33.1515344,57.41619628,High
20,Czechia,43,2025,42.74057435,55.75231118,0.704910901,0.236705846,27.02402099,136.8552157,89.17900805,0.394485517,5.214795272,34.91373133,81.16381469,22.60342237,99.23976825,8.095954452,6.844115863,100,65.39930481,61.30171119,High
21,Argentina,52,2029,49.20509979,83.52965317,0.685143248,0.404131967,39.20297606,149.3562553,107.4534871,0.035790982,3.310962493,39.9187957,78.59918813,25.68097424,45.21329061,5.543229178,9.713672145,100,24.03828458,62.84048712,High
22,Bulgaria,54,2044,43.83804399,28.39057571,0.661523108,0.155037721,57.0930838,115.9385847,26.81895603,0.961460415,2.850723368,76.3222921,88.10353827,14.27575408,91.13570232,8.970786479,2.308316678,100,84.02626777,57.13787704,High
23,Australia,30,2038,56.57513607,26.3202839,0.901898458,0.479512683,77.73035291,228.9073574,130.5211878,0.675768542,3.718934916,91.24572375,70.04762124,35.94285452,94.08877961,6.506155015,4.593851663,100,74.07513149,67.97142726,High
24,Belgium,42,2016,70.96062947,33.05990412,0.797193124,0.210653012,39.71987272,17.95955972,119.4178559,0.590702292,1.856601812,51.53391856,88.55188203,13.73774156,25.94326666,4.656685193,5.274381663,92.31679948,36.59972502,53.02727052,High
25,Guatemala,37,2057,69.13394019,44.44467022,0.617794608,0.475765064,41.20113368,142.7823847,155.2951278,0.251165821,2.771620932,46.22445009,75.16020728,29.80775126,32.65008036,7.675532763,7.990673435,100,26.37167301,64.90387563,High
