date,state_mx,source,landing_page,dropoff_page,device,browser,sessions,bounce_rate,avg_duration_sec
2026-04-01,Ciudad de México,Social,/home,/exit,Mobile,Chrome,412,0.669,113
2026-04-01,Ciudad de México,Organic,/contacto,/nosotros,Desktop,Chrome,325,0.362,168
2026-04-01,Quintana Roo,Social,/blog,/home,Mobile,Chrome,34,0.809,160
2026-04-01,Quintana Roo,Social,/nosotros,/home,Mobile,Firefox,32,0.611,102
2026-04-01,Ciudad de México,Organic,/servicios,/exit,Mobile,Chrome,314,0.539,155
2026-04-01,Jalisco,Organic,/home,/exit,Mobile,Firefox,114,0.595,155
2026-04-01,Morelos,Social,/home,/blog,Desktop,Safari,9,0.525,149
2026-04-01,Veracruz,CPC,/nosotros,/blog,Desktop,Chrome,32,0.527,153
2026-04-01,Guanajuato,CPC,/contacto,/blog,Desktop,Chrome,37,0.418,145
2026-04-01,Ciudad de México,Organic,/nosotros,/contacto,Desktop,Safari,315,0.299,161
2026-04-01,Coahuila,Organic,/contacto,/exit,Desktop,Safari,28,0.401,182
2026-04-01,Nuevo León,Email,/contacto,/exit,Desktop,Chrome,117,0.389,134
2026-04-01,Querétaro,CPC,/contacto,/exit,Mobile,Safari,86,0.533,103
2026-04-01,Ciudad de México,CPC,/servicios,/home,Tablet,Safari,409,0.61,184
2026-04-01,Ciudad de México,Social,/nosotros,/exit,Desktop,Chrome,272,0.576,131
2026-04-01,Ciudad de México,CPC,/blog,/nosotros,Desktop,Chrome,371,0.544,218
2026-04-01,Ciudad de México,Organic,/servicios,/exit,Mobile,Chrome,232,0.584,207
2026-04-01,Coahuila,Organic,/servicios,/exit,Mobile,Safari,30,0.572,188
2026-04-01,Nuevo León,Organic,/nosotros,/contacto,Desktop,Chrome,133,0.505,181
2026-04-01,Quintana Roo,Organic,/servicios,/contacto,Mobile,Chrome,30,0.584,163
2026-04-01,Quintana Roo,Direct,/contacto,/exit,Mobile,Safari,45,0.429,173
2026-04-02,Coahuila,Direct,/nosotros,/blog,Mobile,Chrome,31,0.453,182
2026-04-02,Guanajuato,Social,/servicios,/blog,Desktop,Chrome,65,0.58,179
2026-04-02,Ciudad de México,CPC,/home,/exit,Desktop,Chrome,249,0.527,148
2026-04-02,Coahuila,CPC,/contacto,/contacto,Tablet,Chrome,27,0.455,126
2026-04-02,Jalisco,Organic,/blog,/nosotros,Desktop,Chrome,158,0.409,246
2026-04-02,Tamaulipas,Organic,/home,/servicios,Desktop,Chrome,19,0.461,182
2026-04-02,Ciudad de México,Organic,/contacto,/exit,Mobile,Chrome,362,0.592,142
2026-04-02,Jalisco,Social,/home,/exit,Tablet,Chrome,162,0.58,169
2026-04-02,Guanajuato,Organic,/nosotros,/servicios,Desktop,Chrome,55,0.474,180
2026-04-02,Ciudad de México,Organic,/blog,/servicios,Desktop,Chrome,326,0.497,232
2026-04-02,Tamaulipas,Social,/blog,/exit,Mobile,Chrome,16,0.816,184
2026-04-02,Tamaulipas,Email,/servicios,/exit,Mobile,Chrome,25,0.608,131
2026-04-02,Querétaro,Organic,/servicios,/exit,Desktop,Edge,52,0.44,180
2026-04-02,Puebla,Social,/home,/nosotros,Mobile,Chrome,46,0.696,148
2026-04-02,Nuevo León,Organic,/home,/exit,Desktop,Chrome,112,0.516,135
2026-04-02,Ciudad de México,Social,/contacto,/blog,Mobile,Opera,240,0.666,157
