match_id,fase,equipo_A,equipo_B,prob_A,prob_Empate,prob_B,prediccion_modelo,resultado_real,goles_A_real,goles_B_real,acierto_prediccion
J1-A-1,Fase de Grupos - Jornada 1,Mexico,South Africa,0.619,0.2878,0.0933,Mexico,Victoria A,2.0,0.0,SI
J1-A-2,Fase de Grupos - Jornada 1,South Korea,Czechia,0.372,0.3379,0.2901,South Korea,Victoria A,2.0,1.0,SI
J1-B-1,Fase de Grupos - Jornada 1,Canada,Bosnia & Herzegovina,0.4394,0.3568,0.2038,Canada,Empate,1.0,1.0,NO
J1-B-2,Fase de Grupos - Jornada 1,Qatar,Switzerland,0.1691,0.3521,0.4787,Switzerland,Empate,1.0,1.0,NO
J1-C-1,Fase de Grupos - Jornada 1,Brazil,Morocco,0.3111,0.3648,0.3241,Empate,Empate,1.0,1.0,SI
J1-C-2,Fase de Grupos - Jornada 1,Haiti,Scotland,0.2208,0.3488,0.4304,Scotland,Victoria B,0.0,1.0,SI
J1-D-1,Fase de Grupos - Jornada 1,United States,Paraguay,0.0332,0.2117,0.7551,Paraguay,Victoria A,4.0,1.0,NO
J1-D-2,Fase de Grupos - Jornada 1,Australia,Turkey,0.2882,0.3259,0.386,Turkey,Victoria A,2.0,0.0,NO
J1-E-1,Fase de Grupos - Jornada 1,Germany,Curaçao,0.6053,0.3079,0.0867,Germany,Victoria A,7.0,1.0,SI
J1-E-2,Fase de Grupos - Jornada 1,Ivory Coast,Ecuador,0.5001,0.3418,0.1582,Ivory Coast,Victoria A,1.0,0.0,SI
J1-F-1,Fase de Grupos - Jornada 1,Netherlands,Japan,0.2442,0.3587,0.397,Japan,Empate,2.0,2.0,NO
J1-F-2,Fase de Grupos - Jornada 1,Sweden,Tunisia,0.2453,0.4091,0.3456,Empate,Victoria A,5.0,1.0,NO
J1-G-1,Fase de Grupos - Jornada 1,Belgium,Egypt,0.4833,0.3595,0.1571,Belgium,Empate,1.0,1.0,NO
J1-G-2,Fase de Grupos - Jornada 1,Iran,New Zealand,0.3722,0.3637,0.2641,Iran,Empate,2.0,2.0,NO
J1-H-1,Fase de Grupos - Jornada 1,Spain,Cape Verde,0.4572,0.3266,0.2161,Spain,Empate,0.0,0.0,NO
J1-H-2,Fase de Grupos - Jornada 1,Saudi Arabia,Uruguay,0.092,0.2601,0.6479,Uruguay,Empate,1.0,1.0,NO
J1-I-1,Fase de Grupos - Jornada 1,France,Senegal,0.5428,0.3325,0.1247,France,Victoria A,3.0,1.0,SI
J1-I-2,Fase de Grupos - Jornada 1,Iraq,Norway,0.281,0.3755,0.3435,Empate,Victoria B,1.0,4.0,NO
J1-J-1,Fase de Grupos - Jornada 1,Argentina,Algeria,0.4393,0.3389,0.2218,Argentina,Victoria A,3.0,0.0,SI
J1-J-2,Fase de Grupos - Jornada 1,Austria,Jordan,0.7778,0.1919,0.0303,Austria,Victoria A,3.0,1.0,SI
J1-K-1,Fase de Grupos - Jornada 1,Portugal,DR Congo,0.4199,0.3706,0.2096,Portugal,Empate,1.0,1.0,NO
J1-K-2,Fase de Grupos - Jornada 1,Uzbekistan,Colombia,0.1072,0.2689,0.6239,Colombia,Victoria B,1.0,3.0,SI
J1-L-1,Fase de Grupos - Jornada 1,England,Croatia,0.6715,0.2486,0.08,England,Victoria A,4.0,2.0,SI
J1-L-2,Fase de Grupos - Jornada 1,Ghana,Panama,0.1568,0.3098,0.5334,Panama,Victoria A,1.0,0.0,NO
J2-A-1,Fase de Grupos - Jornada 2,Mexico,South Korea,0.4441,0.3498,0.206,Mexico,Victoria A,1.0,0.0,SI
J2-A-2,Fase de Grupos - Jornada 2,South Africa,Czechia,0.1664,0.304,0.5296,Czechia,Empate,1.0,1.0,NO
J2-B-1,Fase de Grupos - Jornada 2,Canada,Qatar,0.5968,0.2871,0.1161,Canada,Victoria A,6.0,0.0,SI
J2-B-2,Fase de Grupos - Jornada 2,Bosnia & Herzegovina,Switzerland,0.2622,0.3604,0.3774,Switzerland,Victoria B,1.0,4.0,SI
J2-C-1,Fase de Grupos - Jornada 2,Brazil,Haiti,0.5889,0.2961,0.115,Brazil,Victoria A,3.0,0.0,SI
J2-C-2,Fase de Grupos - Jornada 2,Morocco,Scotland,0.4896,0.3316,0.1788,Morocco,Victoria A,1.0,0.0,SI
J2-D-1,Fase de Grupos - Jornada 2,United States,Australia,0.0355,0.2188,0.7457,Australia,Victoria A,2.0,0.0,NO
J2-D-2,Fase de Grupos - Jornada 2,Paraguay,Turkey,0.2503,0.326,0.4238,Turkey,Victoria A,1.0,0.0,NO
J2-E-1,Fase de Grupos - Jornada 2,Germany,Ivory Coast,0.2496,0.3831,0.3674,Empate,Victoria A,2.0,1.0,NO
J2-E-2,Fase de Grupos - Jornada 2,Curaçao,Ecuador,0.1584,0.3267,0.5148,Ecuador,Pendiente,,,
J2-F-1,Fase de Grupos - Jornada 2,Netherlands,Sweden,0.6995,0.225,0.0755,Netherlands,Victoria A,5.0,1.0,SI
J2-F-2,Fase de Grupos - Jornada 2,Japan,Tunisia,0.6162,0.2921,0.0917,Japan,Pendiente,,,
J2-G-1,Fase de Grupos - Jornada 2,Belgium,Iran,0.5582,0.3172,0.1246,Belgium,Pendiente,,,
